INCIDENT_NUMBER,INCIDENT_TYPE,INCIDENT_DATE,INCIDENT_LOCATION,CITY,STATE,ZIP,REPORTING_DISTRICT,GEO_LOCATION,PERSON_AGE,PERSON_RACE,MENTAL_HEALTH_CONCERNS,CRIMINAL_HISTORY,WOUNDED,DECEASED,ON_PROBATION,ON_PAROLE,UNDER_THE_INFLUENCE,SUBSTANCE_NAME,#_INVOLVED_DEPUTIES,WEAPON_INVOLVED_CATEGORY,WEAPON_INVOLVED_CAT_DESC,APPROX_LATITUDE,APPROX_LONGITUDE
1001726,HIT SHOOTING INCIDENT,6/27/19 22:58,300 GERHART AVENUE,LOS ANGELES,CA,90022,285,"300 GERHART AVENUE
LOS ANGELES, CA 90022
(34.030415, -118.14395)",18,HISPANIC,N,N,,Y,,,,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.030415,-118.14395
1000420,HIT SHOOTING INCIDENT,10/18/12 1:04,500 E. HARDY STREET,INGLEWOOD,CA,90301,399,"500 E. HARDY STREET
INGLEWOOD, CA 90301
(33.949088, -118.349176)",27,HISPANIC,N,Y,N,Y,Y,N,N,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,33.949088,-118.349176
1000383,NON-HIT SHOOTING INCIDENT,2/11/12 4:30,4100 MARIS AVENUE,PICO RIVERA,CA,90660,1510,"4100 MARIS AVENUE
PICO RIVERA, CA 90660
(34.014831, -118.080655)",37,HISPANIC,N,Y,N,N,Y,N,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",34.014831,-118.080655
1000491,NON-HIT SHOOTING INCIDENT,7/10/14 3:08,JAMISON AVENUE AND TORRANCE BLVD,CARSON,CA,90745,2851,"JAMISON AVENUE AND TORRANCE BLVD
CARSON, CA 90745
(33.842170159629504, -118.27726154190631)",24,HISPANIC,N,Y,N,N,Y,N,Y,MARIJUANA,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.84217016,-118.2772615
1000370,HIT SHOOTING INCIDENT,12/17/11 4:57,400 SOLANO AVENUE,LOS ANGELES,CA,90012,6891,"400 SOLANO AVENUE
LOS ANGELES, CA 90012
(34.070999, -118.230158)",32,HISPANIC,N,N,N,Y,N,N,Y,HALLUCINOGEN,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.070999,-118.230158
1000528,HIT SHOOTING INCIDENT,6/1/15 0:00,ORANGE LINE BUSWAY AND DENSMORE AVENUE,VAN NUYS,CA,91401,6713,"ORANGE LINE BUSWAY AND DENSMORE AVENUE
VAN NUYS, CA 91401
(34.186215, -118.477398)",52,WHITE,N,Y,Y,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.186215,-118.477398
1001928,HIT SHOOTING INCIDENT,5/29/20 20:30,1700 WEST AVE K,LANCASTER,CA,93534,1126,"1700 WEST AVE K
LANCASTER, CA 93534
(34.674838, -118.161228)",39,W,N,N,,Y,Y,,,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.674838,-118.161228
1000656,HIT SHOOTING INCIDENT,12/1/15 18:35,12600 PIONEER BOULEVARD,NORWALK,CA,90650,453,"12600 PIONEER BOULEVARD
NORWALK, CA 90650
(33.916487, -118.081872)",18,HISPANIC,N,N,N,Y,Y,N,Y,MARIJUANA,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.916487,-118.081872
1001381,NON-HIT SHOOTING INCIDENT,1/16/18 16:54,1100 LONG BEACH BOULEVARD,COMPTON,CA,90221,2846,"1100 LONG BEACH BOULEVARD
COMPTON, CA 90221
(33.88488, -118.205968)",26,BLACK,Y,Y,,,Y,Y,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.88488,-118.205968
1000444,HIT SHOOTING INCIDENT,5/23/13 19:28,1600 EAST PALMER STREET,COMPTON,CA,90221,2826,"1600 EAST PALMER STREET
COMPTON, CA 90221
(33.898527, -118.205139)",27,BLACK,N,N,N,Y,Y,N,Y,OTHER/UNKNOWN,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.898527,-118.205139
1000501,HIT SHOOTING INCIDENT,10/27/14 16:10,14400 DOWNEY AVE,PARAMOUNT,CA,90723,1365,"14400 DOWNEY AVE
PARAMOUNT, CA 90723
(33.902299, -118.151397)",28,HISPANIC,N,Y,N,Y,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.902299,-118.151397
1000523,HIT SHOOTING INCIDENT,5/5/15 12:43,10400 ENLOE STREET,EL MONTE,CA,91733,560,"10400 ENLOE STREET
EL MONTE, CA 91733
(34.053666, -118.045247)",32,ASIAN-PACIFIC-ISL,N,Y,N,Y,,N,Y,COMBINATION,2,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.053666,-118.045247
1000380,NON-HIT SHOOTING INCIDENT,2/3/12 19:10,100 EAST CEDAR STREET,COMPTON,CA,90220,2822,"100 EAST CEDAR STREET
COMPTON, CA 90220
(33.901344, -118.224241)",35,HISPANIC,N,Y,N,N,Y,Y,Y,ALCOHOL,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.901344,-118.224241
1000403,NON-HIT SHOOTING INCIDENT,5/25/12 4:50,1200 RONAN AVENUE,WILMINGTON,CA,90744,3199,"1200 RONAN AVENUE
WILMINGTON, CA 90744
(33.786534, -118.272592)",28,BLACK,N,N,N,N,N,N,N,,4,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.786534,-118.272592
1001547,HIT SHOOTING INCIDENT,8/10/18 13:42,5100 N. CLARK AVENUE,LAKEWOOD,CA,90712,1321,"5100 N. CLARK AVENUE
LAKEWOOD, CA 90712
(33.853606, -118.133745)",,,N,N,Y,,,,,,2,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.853606,-118.133745
1000530,HIT SHOOTING INCIDENT,7/3/15 23:30,3100 W. AVENUE K-4,LANCASTER,CA,93536,1192,"3100 W. AVENUE K-4
LANCASTER, CA 93536
(34.733112, -118.182423)",46,HISPANIC,N,N,N,Y,Y,N,N,,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.733112,-118.182423
1000313,HIT SHOOTING INCIDENT,3/6/10 3:30,3800 FIRESTONE BLVD.,SOUTH GATE,CA,90280,2199,"3800 FIRESTONE BLVD.
SOUTH GATE, CA 90280
(33.953839, -118.202349)",18,HISPANIC,N,Y,Y,N,N,Y,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.953839,-118.202349
1001037,HIT SHOOTING INCIDENT,2/13/17 14:45,"7300 VAN NUYS BLVD.,",VAN NUYS,CA,91405,6884,"7300 VAN NUYS BLVD.,
VAN NUYS, CA 91405
(34.204816, -118.448737)",24,HISPANIC,N,Y,Y,N,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.204816,-118.448737
1001768,HIT SHOOTING INCIDENT,9/12/19 12:43,25700 RYE CANYON ROAD,SANTA CLARITA,CA,91355,641,"25700 RYE CANYON ROAD
SANTA CLARITA, CA 91355
(34.431579, -118.587799)",35,HISPANIC,Y,N,,Y,,,,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.431579,-118.587799
1001766,NON-HIT SHOOTING INCIDENT,9/2/19 2:06,1400 SOUTH SYDNEY DRIVE,COMMERCE,CA,90040,241,"1400 SOUTH SYDNEY DRIVE
COMMERCE, CA 90040
(34.013317, -118.172871)",24,H,,,,,,,,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.013317,-118.172871
1000324,NON-HIT SHOOTING INCIDENT,7/27/10 21:24,11100 BROADWAY,LOS ANGELES,CA,90061,2199,"11100 BROADWAY
LOS ANGELES, CA 90061
(33.934773, -118.278108)",30,HISPANIC,N,Y,N,N,N,N,N,,1,B-4,"WEAPON - OTHER:  Perception shooting, Suspect actions and/or info suggest suspect was armed, Weapon not seen/not recovered",33.934773,-118.278108
1000896,NON-HIT SHOOTING INCIDENT,10/7/16 9:07,10600 FIRESTONE BLVD.,NORWALK,CA,90650,451,"10600 FIRESTONE BLVD.
NORWALK, CA 90650
(33.926374, -118.106651)",24,HISPANIC,N,Y,,,Y,N,Y,CNS STIMULANT,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.926374,-118.106651
1000500,HIT SHOOTING INCIDENT,10/8/14 0:58,OLYMPIC BLVD AND  FRASER AVENUE,EAST LOS ANGELES,CA,90022,284,"OLYMPIC BLVD AND FRASER AVENUE
EAST LOS ANGELES, CA 90022
(34.017217983073046, -118.16292001415275)",19,HISPANIC,N,N,Y,N,N,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.01721798,-118.16292
1000315,NON-HIT SHOOTING INCIDENT,10/3/10 1:13,8200 SANTA MONICA BOULEVARD,WEST HOLLYWOOD,CA,90046,975,"8200 SANTA MONICA BOULEVARD
WEST HOLLYWOOD, CA 90046
(34.09075, -118.367162)",17,BLACK,N,N,N,N,N,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.09075,-118.367162
1000442,HIT SHOOTING INCIDENT,5/22/13 11:40,5800 ALOTT AVENUE,VAN NUYS,CA,91401,3199,"5800 ALOTT AVENUE
VAN NUYS, CA 91401
(34.175726, -118.427941)",28,WHITE,N,Y,Y,N,Y,Y,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.175726,-118.427941
1000321,NON-HIT SHOOTING INCIDENT,10/22/10 9:02,800 W. 136TH STREET,COMPTON,CA,90222,2812,"800 W. 136TH STREET
COMPTON, CA 90222
(33.907991, -118.239173)",47,BLACK,N,N,N,N,N,Y,Y,OPIATE,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.907991,-118.239173
1000895,HIT SHOOTING INCIDENT,10/5/16 12:30,3000 WEST AVENUE K,LANCASTER,CA,93536,1121,"3000 WEST AVENUE K
LANCASTER, CA 93536
(34.674942, -118.185427)",27,BLACK,N,Y,Y,N,Y,Y,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.674942,-118.185427
1001927,HIT SHOOTING INCIDENT,5/30/20 3:05,3100 EAST IMPERIAL HIGHWAY,LYNWOOD,CA,90262,2111,"3100 EAST IMPERIAL HIGHWAY
LYNWOOD, CA 90262
(33.930447, -118.216231)",,HISPANIC,N,N,Y,,,,,,4,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.930447,-118.216231
1000298,NON-HIT SHOOTING INCIDENT,5/10/10 4:42,5800 LAKEWOOD BOULEVARD,LAKEWOOD,CA,90712,1322,"5800 LAKEWOOD BOULEVARD
LAKEWOOD, CA 90712
(33.860311, -118.142409)",,HISPANIC,N,N,N,N,,,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.860311,-118.142409
1000529,NON-HIT SHOOTING INCIDENT,6/27/15 22:20,800 TAJAUTA AVENUE,COMPTON,CA,90220,2811,"800 TAJAUTA AVENUE
COMPTON, CA 90220
(33.901577, -118.246729)",17,BLACK,N,Y,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.901577,-118.246729
1000976,NON-HIT SHOOTING INCIDENT,12/27/16 14:15,500 WEST COMPTON BOULEVARD,COMPTON,CA,90220,2822,"500 WEST COMPTON BOULEVARD
COMPTON, CA 90220
(33.895909, -118.233816)",20,HISPANIC,N,Y,,,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.895909,-118.233816
1000387,HIT SHOOTING INCIDENT,3/4/12 0:27,100 144TH STREET AND CENTRAL AVENUE,COMPTON,CA,90220,2199,"100 144TH STREET AND CENTRAL AVENUE
COMPTON, CA 90220
(33.901696, -118.253296)",23,BLACK,N,N,Y,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.901696,-118.253296
1000434,HIT SHOOTING INCIDENT,4/10/13 23:58,3500 58TH STREET,LOS ANGELES,CA,90270,250,"3500 58TH STREET
LOS ANGELES, CA 90270
(33.989961, -118.203349)",31,HISPANIC,N,Y,Y,N,Y,Y,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.989961,-118.203349
1002011,HIT SHOOTING INCIDENT,9/23/20 0:00,7600 PAINTER AVENUE,WHITTIER,CA,90602,3199,"7600 PAINTER AVENUE
WHITTIER, CA 90602
(33.973508, -118.032637)",23,W,,,Y,,,,,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.973508,-118.032637
1000399,HIT SHOOTING INCIDENT,5/5/12 23:37,39600 167TH STREET,PALMDALE,CA,93591,1197,"39600 167TH STREET
PALMDALE, CA 93591
(34.601522, -117.832055)",29,WHITE,N,N,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.601522,-117.832055
1000412,HIT SHOOTING INCIDENT,8/16/12 12:18,1300 PALMER STREET,COMPTON,CA,90221,2824,"1300 PALMER STREET
COMPTON, CA 90221
(33.898364, -118.209512)",31,BLACK,N,N,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.898364,-118.209512
1000342,HIT SHOOTING INCIDENT,2/26/11 3:53,4500 EAST THIRD STREET,LOS ANGELES,CA,90063,283,"4500 EAST THIRD STREET
LOS ANGELES, CA 90063
(34.03324, -118.169147)",24,HISPANIC,N,N,Y,N,Y,N,N,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.03324,-118.169147
1000685,NON-HIT SHOOTING INCIDENT,2/10/16 11:53,3600 EAST ELIZABETH STREET,COMPTON,CA,90221,2853,"3600 EAST ELIZABETH STREET
COMPTON, CA 90221
(33.888076, -118.20436)",35,BLACK,N,Y,,,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.888076,-118.20436
1000432,HIT SHOOTING INCIDENT,2/19/13 20:31,400 EAST DARLAN STREET,GARDENA,CA,90248,2871,"400 EAST DARLAN STREET
GARDENA, CA 90248
(33.89015, -118.269814)",36,BLACK,N,Y,Y,N,Y,Y,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.89015,-118.269814
1000326,NON-HIT SHOOTING INCIDENT,10/28/10 9:15,500 W. TERRACE STREET,ALTADENA,CA,91001,862,"500 W. TERRACE STREET
ALTADENA, CA 91001
(34.196814, -118.157069)",21,WHITE,N,Y,N,N,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.196814,-118.157069
1000436,HIT SHOOTING INCIDENT,4/26/13 11:42,11400 S VERMONT AVE,LOS ANGELES,CA,90044,378,"11400 S VERMONT AVE
LOS ANGELES, CA 90044
(33.930622, -118.291581)",24,BLACK,N,Y,N,Y,N,N,Y,CNS STIMULANT,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.930622,-118.291581
1000651,HIT SHOOTING INCIDENT,10/2/15 23:30,13400 CROSSROADS PARKWAY NORTH,CITY OF INDUSTRY,CA,91746,1410,"13400 CROSSROADS PARKWAY NORTH
CITY OF INDUSTRY, CA 91746
(34.030814, -118.006742)",41,HISPANIC,N,Y,Y,N,N,N,Y,CNS STIMULANT,6,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.030814,-118.006742
1000327,NON-HIT SHOOTING INCIDENT,11/5/10 2:30,12300 SPROUL STREET,NORWALK,CA,90650,459,"12300 SPROUL STREET
NORWALK, CA 90650
(33.907957, -118.070772)",27,HISPANIC,N,N,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.907957,-118.070772
1000336,HIT SHOOTING INCIDENT,1/8/11 0:47,8000 WADSWORTH AVENUE,LOS ANGELES,CA,90001,2199,"8000 WADSWORTH AVENUE
LOS ANGELES, CA 90001
(33.966244, -118.25858)",20,BLACK,N,Y,N,Y,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.966244,-118.25858
1001934,HIT SHOOTING INCIDENT,6/17/20 16:33,3400 15TH STREET WEST,ROSAMOND,CA,93560,1199,"3400 15TH STREET WEST
ROSAMOND, CA 93560
(34.870487, -118.158285)",31,BLACK,N,N,,Y,,,,,4,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.870487,-118.158285
1001646,HIT SHOOTING INCIDENT,3/31/19 22:47,600 W. ALONDRA BLVD,COMPTON,CA,90220,2835,"600 W. ALONDRA BLVD
COMPTON, CA 90220
(33.88842, -118.237096)",17,HISPANIC,N,N,Y,N,N,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.88842,-118.237096
1000433,NON-HIT SHOOTING INCIDENT,3/14/13 12:10,1100 ORANGE GROVE BLVD,PASADENA,CA,91105,3199,"1100 ORANGE GROVE BLVD
PASADENA, CA 91105
(34.126946, -118.158199)",,BLACK,N,N,N,N,,,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.126946,-118.158199
1000518,HIT SHOOTING INCIDENT,3/13/15 17:25,900 WEST 43RD STREET,LOS ANGELES,CA,90037,371,"900 WEST 43RD STREET
LOS ANGELES, CA 90037
(34.00549, -118.289087)",26,HISPANIC,N,Y,Y,N,Y,N,Y,CNS STIMULANT,3,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.00549,-118.289087
1001423,HIT SHOOTING INCIDENT,3/18/18 9:00,900 DURFEE AVENUE,SOUTH EL MONTE,CA,91733,563,"900 DURFEE AVENUE
SOUTH EL MONTE, CA 91733
(34.031407, -118.052735)",40,HISPANIC,N,Y,N,Y,N,Y,,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.031407,-118.052735
1001321,HIT SHOOTING INCIDENT,10/31/17 6:43,ROSCOE BLVD AT WHITE OAK AVE.,RESEDA,CA,91335,8548,"ROSCOE BLVD AT WHITE OAK AVE.
RESEDA, CA 91335
(34.22095, -118.519733)",32,WHITE,Y,Y,Y,N,N,N,N,,1,E-1,"FLEEING SUSPECT:  Probable cause, Posed a threat of serious physical harm to deputy and/or others (Tennessee v Garner)",34.22095,-118.519733
1000311,NON-HIT SHOOTING INCIDENT,7/27/10 18:57,15300 AVALON BOULEVARD,COMPTON,CA,90248,2199,"15300 AVALON BOULEVARD
COMPTON, CA 90248
(33.892958, -118.265233)",33,BLACK,N,Y,N,N,N,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.892958,-118.265233
1000521,HIT SHOOTING INCIDENT,3/25/15 0:00,102ND STREET AND S. VERMONT AVE,LOS ANGELES,CA,90044,577,"102ND STREET AND S. VERMONT AVE
LOS ANGELES, CA 90044
(33.94408299312416, -118.29182501144271)",28,HISPANIC,N,Y,N,Y,N,Y,Y,ALCOHOL,9,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.94408299,-118.291825
1000298,NON-HIT SHOOTING INCIDENT,5/10/10 4:42,5800 LAKEWOOD BOULEVARD,LAKEWOOD,CA,90712,1322,"5800 LAKEWOOD BOULEVARD
LAKEWOOD, CA 90712
(33.860311, -118.142409)",,BLACK,N,N,N,N,,,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.860311,-118.142409
1000418,HIT SHOOTING INCIDENT,9/17/12 19:40,16600 DOWNEY AVE.,PARAMOUNT,CA,90723,1369,"16600 DOWNEY AVE.
PARAMOUNT, CA 90723
(33.884018, -118.151345)",27,OTHER,N,N,N,Y,N,N,N,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,33.884018,-118.151345
1001403,HIT SHOOTING INCIDENT,2/4/18 20:17,1200 W 107TH STREET,LOS ANGELES,CA,90044,375,"1200 W 107TH STREET
LOS ANGELES, CA 90044
(33.93882, -118.296901)",16,BLACK,N,N,N,Y,,,,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.93882,-118.296901
1000483,HIT SHOOTING INCIDENT,4/7/14 21:29,900 PALM AVENUE,WEST HOLLYWOOD,CA,90069,977,"900 PALM AVENUE
WEST HOLLYWOOD, CA 90069
(34.087659, -118.382901)",30,WHITE,N,N,N,Y,N,N,N,,3,B-4,"WEAPON - OTHER:  Perception shooting, Suspect actions and/or info suggest suspect was armed, Weapon not seen/not recovered",34.087659,-118.382901
1001888,HIT SHOOTING INCIDENT,3/5/20 21:30,southbound 5 freeway and eastbound 210 interchange,SYLMAR,CA,91342,2306,"southbound 5 freeway and eastbound 210 interchange
SYLMAR, CA 91342
(34.317447, -118.490264)",38,WHITE,N,N,Y,N,,,,,7,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.317447,-118.490264
1000338,HIT SHOOTING INCIDENT,2/5/11 21:56,3200 THOMAS AVENUE,PALMDALE,CA,93550,2603,"3200 THOMAS AVENUE
PALMDALE, CA 93550
(34.550873, -118.071451)",43,BLACK,N,Y,Y,N,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.550873,-118.071451
1000812,HIT SHOOTING INCIDENT,8/7/16 12:20,10200 INGLEWOOD AVENUE,LENNOX,CA,90304,380,"10200 INGLEWOOD AVENUE
LENNOX, CA 90304
(33.94186, -118.361324)",20,HISPANIC,N,Y,Y,N,Y,N,N,,1,D-1,NO SUSPECT FIREAM/OTHER WEAPON involved in the Incident,33.94186,-118.361324
1000375,NON-HIT SHOOTING INCIDENT,1/10/12 3:11,HOXIE AVENUE 105 FWY ENTRANCE,NORWALK,CA,90650,453,"HOXIE AVENUE 105 FWY ENTRANCE
NORWALK, CA 90650
(33.914059, -118.102426)",18,HISPANIC,N,N,N,N,N,N,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.914059,-118.102426
1001601,HIT SHOOTING INCIDENT,9/19/18 18:17,3800 WHITTIER BOULEVARD (SALAZAR PARK),EAST LOS ANGELES,CA,90023,278,"3800 WHITTIER BOULEVARD (SALAZAR PARK)
EAST LOS ANGELES, CA 90023
(34.023893, -118.191189)",39,HISPANIC,N,N,,Y,,,,,4,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.023893,-118.191189
1001548,HIT SHOOTING INCIDENT,8/17/18 1:13,lennox blvd / firmona avenue,LENNOX (UNINCORPORATED AREA),CA,90304,381,"lennox blvd / firmona avenue
LENNOX (UNINCORPORATED AREA), CA 90304
(33.938181, -118.352783)",28,BLACK,N,N,Y,,,,,,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.938181,-118.352783
1000301,NON-HIT SHOOTING INCIDENT,6/5/10 2:41,4200 E. UNION PACIFIC AVE.,EAST LOS ANGELES,CA,90023,278,"4200 E. UNION PACIFIC AVE.
EAST LOS ANGELES, CA 90023
(34.016546, -118.183704)",25,HISPANIC,N,N,N,N,N,Y,Y,ALCOHOL,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.016546,-118.183704
1000419,HIT SHOOTING INCIDENT,9/28/12 22:12,4900 1ST STREET,EAST LOS ANGELES,CA,90022,282,"4900 1ST STREET
EAST LOS ANGELES, CA 90022
(34.03694347384903, -118.16027149723665)",19,HISPANIC,N,N,Y,N,N,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.03694347,-118.1602715
1000417,HIT SHOOTING INCIDENT,9/8/12 19:17,2200 LONG BEACH BOULEVARD,COMPTON,CA,90221,2824,"2200 LONG BEACH BOULEVARD
COMPTON, CA 90221
(33.911105, -118.208963)",25,HISPANIC,N,Y,Y,N,Y,N,N,,1,D-1,NO SUSPECT FIREAM/OTHER WEAPON involved in the Incident,33.911105,-118.208963
1000422,HIT SHOOTING INCIDENT,10/20/12 15:00,11900 162ND STREET,NORWALK,CA,90650,458,"11900 162ND STREET
NORWALK, CA 90650
(33.884327, -118.07976)",18,HISPANIC,N,Y,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.884327,-118.07976
1000499,HIT SHOOTING INCIDENT,10/4/14 18:51,1100 E. 57TH STREET,LOS ANGELES,CA,90011,2172,"1100 E. 57TH STREET
LOS ANGELES, CA 90011
(33.991116, -118.256328)",28,HISPANIC,Y,Y,N,Y,N,N,N,,4,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.991116,-118.256328
1000366,HIT SHOOTING INCIDENT,11/29/11 3:36,11700 ELMCROFT AVENUE,NORWALK,CA,90650,451,"11700 ELMCROFT AVENUE
NORWALK, CA 90650
(33.925936, -118.095671)",39,HISPANIC,Y,Y,Y,N,Y,Y,Y,ALCOHOL,3,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.925936,-118.095671
1001667,HIT SHOOTING INCIDENT,5/21/19 12:28,3800 LILITA STREET,LYNWOOD,CA,90262,2112,"3800 LILITA STREET
LYNWOOD, CA 90262
(33.931892, -118.197585)",44,HISPANIC,N,N,Y,Y,,,Y,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.931892,-118.197585
1000343,NON-HIT SHOOTING INCIDENT,3/1/11 12:50,CITRUS AVENUE AND VALLEY BLVD,FONTANA,CA,92335,3499,"CITRUS AVENUE AND VALLEY BLVD
FONTANA, CA 92335
(34.070328, -117.453668)",24,HISPANIC,N,Y,N,N,Y,Y,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.070328,-117.453668
1000484,HIT SHOOTING INCIDENT,4/29/14 4:15,100 NORTH GAGE AVENUE,EAST LOS ANGELES,CA,90063,276,"100 NORTH GAGE AVENUE
EAST LOS ANGELES, CA 90063
(34.036036, -118.184622)",26,HISPANIC,N,Y,N,Y,N,N,Y,ALCOHOL,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.036036,-118.184622
1000415,NON-HIT SHOOTING INCIDENT,9/2/12 8:55,1600 DURFEE AVENUE,SOUTH EL MONTE,CA,91733,562,"1600 DURFEE AVENUE
SOUTH EL MONTE, CA 91733
(34.040611, -118.03605)",24,BLACK,N,Y,N,N,N,Y,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.040611,-118.03605
1001015,NON-HIT SHOOTING INCIDENT,1/21/17 16:32,600 S. WOODS AVENUE,EAST LOS ANGELES,CA,90022,286,"600 S. WOODS AVENUE
EAST LOS ANGELES, CA 90022
(34.025147, -118.157006)",38,HISPANIC,N,Y,,,Y,N,Y,COMBINATION,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.025147,-118.157006
1001746,HIT SHOOTING INCIDENT,7/26/19 16:43,28800 BISON COURT,MALIBU,CA,90265,1013,"28800 BISON COURT
MALIBU, CA 90265
(34.01027, -118.79912)",32,WHITE,Y,N,Y,,,,,,2,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.01027,-118.79912
1001931,HIT SHOOTING INCIDENT,6/12/20 22:30,38300 20TH STREET EAST,PALMDALE,CA,93550,2608,"38300 20TH STREET EAST
PALMDALE, CA 93550
(34.580034, -118.092271)",38,HISPANIC,N,N,N,Y,,,,,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.580034,-118.092271
